Order_ID,Date,Product,Category,Quantity,Unit_Cost,Unit_Price,Revenue,Cost,Profit,Profit_Margin,Customer_Type,Payment_Method
ORD1557,2026-01-01,Calculator,Office,2,180,300,600,360,240,40.0,Business,UPI
ORD0585,2026-01-01,Notebook,Paper,3,35,60,180,105,75,41.66666666666667,Individual,Cash
ORD1650,2026-01-01,Stapler,Office,2,45,75,150,90,60,40.0,Individual,Cash
ORD0683,2026-01-01,Pencil,Writing,9,4,8,72,36,36,50.0,Individual,Card
ORD0437,2026-01-01,A4 Sheets,Paper,8,180,250,2000,1440,560,28.000000000000004,Business,Cash
ORD0978,2026-01-01,Glue,School,8,15,25,200,120,80,40.0,Student,Card
ORD1216,2026-01-01,Pencil,Writing,9,4,8,72,36,36,50.0,Individual,UPI
ORD1967,2026-01-01,Eraser,School,8,3,7,56,24,32,57.14285714285714,Business,Card
ORD0233,2026-01-01,Color Pencils,School,3,45,80,240,135,105,43.75,Individual,UPI
ORD0407,2026-01-01,Highlighter,Writing,1,20,35,35,20,15,42.857142857142854,Student,UPI
ORD1603,2026-01-01,A4 Sheets,Paper,8,180,250,2000,1440,560,28.000000000000004,Individual,Cash
ORD1236,2026-01-01,Highlighter,Writing,3,20,35,105,60,45,42.857142857142854,Student,UPI
ORD1358,2026-01-02,Pencil,Writing,4,4,8,32,16,16,50.0,Individual,UPI
ORD0623,2026-01-02,Scissors,Office,7,25,45,315,175,140,44.44444444444444,Individual,Card
ORD1422,2026-01-02,Stapler,Office,6,45,75,450,270,180,40.0,Student,UPI
ORD0679,2026-01-02,Highlighter,Writing,7,20,35,245,140,105,42.857142857142854,Individual,Cash
ORD0263,2026-01-02,Calculator,Office,3,180,300,900,540,360,40.0,Individual,Cash
ORD0277,2026-01-02,Drawing Book,School,10,30,50,500,300,200,40.0,Student,UPI
ORD1827,2026-01-02,A4 Sheets,Paper,5,180,250,1250,900,350,28.000000000000004,Individual,Card
ORD1315,2026-01-02,Marker,Writing,10,20,35,350,200,150,42.857142857142854,Individual,Cash
ORD0849,2026-01-02,A4 Sheets,Paper,6,180,250,1500,1080,420,28.000000000000004,Student,Card
ORD0209,2026-01-02,Eraser,School,10,3,7,70,30,40,57.14285714285714,Student,Cash
ORD1362,2026-01-02,Drawing Book,School,9,30,50,450,270,180,40.0,Business,UPI
ORD0435,2026-01-02,Gel Pen,Writing,4,10,20,80,40,40,50.0,Business,Cash
ORD1546,2026-01-02,Drawing Book,School,9,30,50,450,270,180,40.0,Individual,UPI
ORD0368,2026-01-02,Gel Pen,Writing,5,10,20,100,50,50,50.0,Individual,UPI
ORD1137,2026-01-02,Drawing Book,School,1,30,50,50,30,20,40.0,Student,Cash
ORD1188,2026-01-03,Scissors,Office,3,25,45,135,75,60,44.44444444444444,Business,Cash
ORD0587,2026-01-03,Drawing Book,School,2,30,50,100,60,40,40.0,Individual,UPI
ORD1000,2026-01-03,Notebook,Paper,6,35,60,360,210,150,41.66666666666667,Individual,UPI
ORD0193,2026-01-03,File,Office,10,18,35,350,180,170,48.57142857142857,Student,Cash
ORD1738,2026-01-03,Glue,School,3,15,25,75,45,30,40.0,Individual,Cash
